食物ID,食物名称,食物种类,食物单位热量,健康评级（红绿灯）,脂肪,蛋白质,碳水化合物
100001,玉米,谷薯芋、杂豆、主食,112.00 ,绿,1.20 ,4.00 ,19.90 
100002,米饭,谷薯芋、杂豆、主食,116.00 ,绿,0.30 ,2.60 ,25.60 
100003,麦片,谷薯芋、杂豆、主食,391.73 ,黄,8.10 ,10.90 ,67.90 
100004,馒头,谷薯芋、杂豆、主食,223.00 ,绿,1.10 ,7.00 ,45.70 
100005,燕麦片,谷薯芋、杂豆、主食,377.00 ,绿,6.70 ,15.00 ,61.60 
100006,面包,谷薯芋、杂豆、主食,313.00 ,黄,5.10 ,8.30 ,58.10 
100007,红薯,谷薯芋、杂豆、主食,102.00 ,绿,0.20 ,1.10 ,23.10 
100008,小米粥,谷薯芋、杂豆、主食,46.00 ,绿,0.70 ,1.40 ,8.40 
100009,土豆,谷薯芋、杂豆、主食,77.00 ,绿,0.20 ,2.00 ,16.50 
100010,肉包子,谷薯芋、杂豆、主食,227.00 ,绿,10.00 ,7.30 ,28.60 
100011,面条,谷薯芋、杂豆、主食,286.00 ,绿,0.70 ,8.30 ,61.10 
100012,白薯,谷薯芋、杂豆、主食,106.00 ,绿,0.20 ,1.40 ,24.20 
100013,薄荷黑米圈,谷薯芋、杂豆、主食,367.00 ,黄,1.00 ,5.50 ,83.60 
100014,早餐燕麦圈,谷薯芋、杂豆、主食,376.00 ,黄,2.80 ,6.90 ,80.90 
100015,烙饼,谷薯芋、杂豆、主食,259.00 ,黄,2.30 ,7.50 ,51.00 
100016,花卷,谷薯芋、杂豆、主食,214.00 ,绿,1.00 ,6.40 ,44.10 
100017,油条,谷薯芋、杂豆、主食,388.00 ,红,17.60 ,6.90 ,50.10 
100018,蛋白棒,谷薯芋、杂豆、主食,415.00 ,黄,19.00 ,34.70 ,18.70 
100019,粳米粥,谷薯芋、杂豆、主食,47.00 ,绿,0.30 ,1.10 ,9.80 
100020,方便面,谷薯芋、杂豆、主食,473.00 ,红,21.10 ,9.50 ,60.90 
100021,鸡蛋,蛋类、肉类及制品,144.00 ,绿,8.80 ,13.30 ,2.80 
100022,瘦猪肉,蛋类、肉类及制品,143.00 ,绿,6.20 ,20.30 ,1.50 
100023,熟鸡蛋,蛋类、肉类及制品,151.00 ,绿,10.50 ,12.10 ,2.10 
100024,鸡,蛋类、肉类及制品,167.00 ,绿,9.40 ,19.30 ,1.30 
100025,火腿肠,蛋类、肉类及制品,212.00 ,黄,10.40 ,14.00 ,15.60 
100026,鸡蛋白,蛋类、肉类及制品,60.00 ,绿,0.10 ,11.60 ,3.10 
100027,咸鸭蛋,蛋类、肉类及制品,190.00 ,绿,12.70 ,12.70 ,6.30 
100028,五花肉,蛋类、肉类及制品,395.00 ,黄,37.00 ,13.20 ,2.40 
100029,鸡胸肉,蛋类、肉类及制品,133.00 ,绿,5.00 ,19.40 ,2.50 
100030,草鱼,蛋类、肉类及制品,113.00 ,绿,5.20 ,16.60 ,0.00 
